Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)  Time(%)  Shape              Inputs  Outputs  
tvmgen_default_fused_sqrt_23               tvmgen_default_fused_sqrt_2                9.56      0.169    (128,)             1       1        
tvmgen_default_fused_divide1               tvmgen_default_fused_divide                9.548     0.169    (32,)              2       1        
tvmgen_default_fused_negative_1            tvmgen_default_fused_negative_1            9.545     0.169    (64,)              1       1        
tvmgen_default_fused_add_3                 tvmgen_default_fused_add_3                 9.542     0.169    (64,)              2       1        
tvmgen_default_fused_multiply_13           tvmgen_default_fused_multiply_13           9.536     0.169    (1, 512, 7, 7)     2       1        
tvmgen_default_fused_divide_11             tvmgen_default_fused_divide_1              9.524     0.169    (64,)              2       1        
tvmgen_default_fused_sqrt_51               tvmgen_default_fused_sqrt_5                9.513     0.168    (1024,)            1       1        
tvmgen_default_fused_add_192               tvmgen_default_fused_add_19                9.504     0.168    (1024,)            2       1        
tvmgen_default_fused_multiply_145          tvmgen_default_fused_multiply_14           9.498     0.168    (1024,)            2       1        
tvmgen_default_fused_add_20                tvmgen_default_fused_add_20                9.497     0.168    (1024,)            2       1        
tvmgen_default_fused_divide_21             tvmgen_default_fused_divide_2              9.489     0.168    (128,)             2       1        
tvmgen_default_fused_divide_33             tvmgen_default_fused_divide_3              9.486     0.168    (256,)             2       1        
tvmgen_default_fused_add_19                tvmgen_default_fused_add_19                9.485     0.168    (1024,)            2       1        
tvmgen_default_fused_multiply_141          tvmgen_default_fused_multiply_14           9.461     0.168    (1024,)            2       1        
tvmgen_default_fused_sqrt_4                tvmgen_default_fused_sqrt_4                9.46      0.168    (512,)             1       1        
tvmgen_default_fused_add_4                 tvmgen_default_fused_add_4                 9.447     0.167    (64,)              2       1        
tvmgen_default_fused_multiply_2            tvmgen_default_fused_multiply_2            9.442     0.167    (64,)              2       1        
tvmgen_default_fused_multiply              tvmgen_default_fused_multiply              9.439     0.167    (32,)              2       1        
tvmgen_default_fused_negative_3            tvmgen_default_fused_negative_3            9.435     0.167    (256,)             1       1        
tvmgen_default_fused_add_191               tvmgen_default_fused_add_19                9.432     0.167    (1024,)            2       1        
tvmgen_default_fused_negative_21           tvmgen_default_fused_negative_2            9.431     0.167    (128,)             1       1        
tvmgen_default_fused_add_201               tvmgen_default_fused_add_20                9.425     0.167    (1024,)            2       1        
tvmgen_default_fused_sqrt_3                tvmgen_default_fused_sqrt_3                9.419     0.167    (256,)             1       1        
tvmgen_default_fused_sqrt_21               tvmgen_default_fused_sqrt_2                9.408     0.167    (128,)             1       1        
tvmgen_default_fused_negative_47           tvmgen_default_fused_negative_4            9.406     0.167    (512,)             1       1        
tvmgen_default_fused_sqrt_2                tvmgen_default_fused_sqrt_2                9.385     0.166    (128,)             1       1        
tvmgen_default_fused_add_202               tvmgen_default_fused_add_20                9.374     0.166    (1024,)            2       1        
tvmgen_default_fused_sqrt_22               tvmgen_default_fused_sqrt_2                9.369     0.166    (128,)             1       1        
tvmgen_default_fused_multiply_142          tvmgen_default_fused_multiply_14           9.369     0.166    (1024,)            2       1        
tvmgen_default_fused_add_12                tvmgen_default_fused_add_12                9.368     0.166    (256,)             2       1        
tvmgen_default_fused_add_31                tvmgen_default_fused_add_3                 9.362     0.166    (64,)              2       1        
tvmgen_default_fused_add_158               tvmgen_default_fused_add_15                9.356     0.166    (512,)             2       1        
tvmgen_default_fused_add_16                tvmgen_default_fused_add_16                9.353     0.166    (512,)             2       1        
tvmgen_default_fused_multiply_144          tvmgen_default_fused_multiply_14           9.348     0.166    (1024,)            2       1        
tvmgen_default_fused_nn_batch_flatten      tvmgen_default_fused_nn_batch_flatten      9.341     0.165    (1, 1024)          1       1        
tvmgen_default_fused_multiply_1121         tvmgen_default_fused_multiply_11           9.338     0.165    (512,)             2       1        
tvmgen_default_fused_add_7                 tvmgen_default_fused_add_7                 9.334     0.165    (128,)             2       1        
tvmgen_default_fused_add_111               tvmgen_default_fused_add_11                9.334     0.165    (256,)             2       1        
tvmgen_default_fused_add                   tvmgen_default_fused_add                   9.333     0.165    (32,)              2       1        
tvmgen_default_fused_add_121               tvmgen_default_fused_add_12                9.332     0.165    (256,)             2       1        
tvmgen_default_fused_multiply_143          tvmgen_default_fused_multiply_14           9.332     0.165    (1024,)            2       1        
tvmgen_default_fused_sqrt_11               tvmgen_default_fused_sqrt_1                9.316     0.165    (64,)              1       1        
tvmgen_default_fused_add_165               tvmgen_default_fused_add_16                9.303     0.165    (512,)             2       1        
tvmgen_default_fused_add_15                tvmgen_default_fused_add_15                9.297     0.165    (512,)             2       1        
tvmgen_default_fused_add_169               tvmgen_default_fused_add_16                9.294     0.165    (512,)             2       1        
tvmgen_default_fused_negative_31           tvmgen_default_fused_negative_3            9.29      0.165    (256,)             1       1        
tvmgen_default_fused_add_8                 tvmgen_default_fused_add_8                 9.285     0.164    (128,)             2       1        
tvmgen_default_fused_add_1611              tvmgen_default_fused_add_16                9.285     0.164    (512,)             2       1        
tvmgen_default_fused_sqrt_41               tvmgen_default_fused_sqrt_4                9.282     0.164    (512,)             1       1        
tvmgen_default_fused_negative_23           tvmgen_default_fused_negative_2            9.281     0.164    (128,)             1       1        
tvmgen_default_fused_add_161               tvmgen_default_fused_add_16                9.281     0.164    (512,)             2       1        
tvmgen_default_fused_multiply_54           tvmgen_default_fused_multiply_5            9.272     0.164    (128,)             2       1        
